Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,96.2887,4.61212e+06,1.0669,0,5,True,
2,77.0697,5.76225e+06,0.731683,0,7,True,
3,148.768,2.98515e+06,2.0037,0,3,False,
4,59.8288,7.42275e+06,0.479114,0,3,False,
6,34.5255,1.28628e+07,1.55211,0,7,True,
8,707.784,627444,2.30512,0,2,False,
9,32.5659,1.36368e+07,1.20286,0,3,False,
10,429.265,1.03455e+06,1.13485,0,2,False,
12,118.224,3.75639e+06,0.512451,0,2,False,
14,139.72,3.17846e+06,0.852041,0,5,True,
15,126.548,3.50929e+06,1.80994,0,5,True,
16,232.245,1.91218e+06,0.49035,0,2,False,
18,55.7516,7.9656e+06,2.01154,0,15,True,
19,258.168,1.72017e+06,1.72459,0,2,False,
21,53.3376,8.32612e+06,1.57183,0,25,True,
22,89.997,4.93455e+06,3.43025,0,59,True,
23,620.032,716244,2.97199,0,2,False,
24,51.0493,8.69934e+06,1.66772,0,6,True,
25,77.2438,5.74926e+06,2.44368,0,3,False,
26,70.7475,6.27718e+06,2.78436,0,7,True,
28,78.8207,5.63424e+06,2.46663,0,38,True,
29,321.16,1.38279e+06,1.64965,0,5,False,
31,95.6214,4.6443e+06,3.28187,0,23,True,
32,63.7453,6.96671e+06,2.18005,0,45,True,
33,78.3249,5.6699e+06,2.56538,0,75,True,
34,126.456,3.51184e+06,3.19167,0,10,True,
35,245.856,1.80632e+06,2.93002,20,2,False,
36,84.8441,5.23424e+06,2.64237,0,50,True,
37,67.8357,6.54663e+06,1.99505,0,12,True,
38,57.3569,7.74265e+06,2.18506,0,12,True,
39,53.7946,8.25537e+06,2.48129,0,98,True,
40,173.023,2.56668e+06,2.58504,0,4,False,
41,109.28,4.06382e+06,1.53803,18,3,False,
42,72.4714,6.12786e+06,2.94723,0,11,True,
43,36.734,1.20895e+07,3.08702,0,4,False,
44,60.4928,7.34129e+06,3.92558,0,25,True,
46,58.5348,7.58685e+06,3.05303,0,44,True,
47,271.914,1.63322e+06,3.39275,0,8,True,
48,1752.42,253418,3.12741,3,3,False,
49,112.624,3.94316e+06,5.47184,0,89,True,
50,1293.96,343207,3.07487,0,2,False,
52,128.825,3.44727e+06,3.72426,0,60,True,
53,149.933,2.96195e+06,3.8264,0,7,True,
54,71.5178,6.20957e+06,3.70602,0,12,True,
55,1029.52,431363,3.63872,0,3,False,
56,72.2229,6.14895e+06,2.8838,0,33,True,
57,45.9881,9.65672e+06,3.70407,0,4,False,
