Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,47694.8,9411.3,2.6872,4,2,False,
1,84.817,5.29222e+06,3.98817,0,9,True,
2,164.49,2.72886e+06,3.36921,0,8,True,
3,144.791,3.10012e+06,4.22382,0,11,True,
4,160.296,2.80026e+06,2.95674,0,14,True,
5,68.5641,6.54672e+06,4.38869,0,2,False,
7,109.823,4.0872e+06,3.51395,0,15,True,
8,116.364,3.85745e+06,3.25626,0,12,True,
9,2262.1,198431,3.23059,0,2,False,
10,81.3716,5.5163e+06,3.45566,0,18,True,
11,315.406,1.42315e+06,4.63519,0,31,True,
12,51.1019,8.78383e+06,4.32223,0,6,True,
14,136.477,3.28897e+06,5.23556,0,29,True,
15,97.1435,4.62069e+06,5.45305,0,27,True,
16,38.1157,1.17765e+07,5.12981,0,3,False,
18,226.901,1.97827e+06,4.91463,0,2,False,
20,96.1515,4.66836e+06,5.97213,0,69,True,
21,530.634,845912,4.6994,0,2,False,
22,1316.26,341020,6.09312,0,2,False,
23,91.2114,4.9212e+06,5.47875,0,5,True,
24,1372.32,327088,5.29531,1,2,False,
25,135.669,3.30858e+06,4.84115,0,7,True,
28,201.755,2.22482e+06,6.50385,1,2,False,
29,61829,7259.86,6.78081,28,2,False,
30,136.411,3.29057e+06,6.31262,0,30,True,
31,156.614,2.86609e+06,5.83751,0,4,False,
32,122.187,3.67363e+06,6.57877,0,63,True,
33,122.296,3.67035e+06,6.57206,0,17,True,
34,220.437,2.03627e+06,6.346,0,38,True,
35,264.324,1.69818e+06,7.30413,0,100,True,
36,173.956,2.58036e+06,6.65796,0,63,True,
37,183.417,2.44726e+06,7.85085,0,100,True,
38,210.681,2.13057e+06,7.35193,0,2,False,
39,168.57,2.66281e+06,7.10062,98,2,False,
40,379.115,1.184e+06,7.15849,0,3,False,
41,136.984,3.27682e+06,7.60853,0,70,True,
42,255.726,1.75527e+06,7.6992,0,100,True,
43,47694.8,9411.3,7.71184,0,2,False,
44,192.07,2.33702e+06,7.40075,0,42,True,
45,1082.49,414663,7.5575,5,2,False,
47,192.714,2.32921e+06,7.55866,0,4,False,
48,944.685,475153,8.01866,0,2,False,
49,185.908,2.41448e+06,7.6952,0,47,True,
50,163.562,2.74434e+06,7.90964,0,54,True,
51,6855.82,65472.9,8.15238,0,2,False,
52,1742.8,257556,7.4436,0,2,False,
53,1203.5,372971,7.77782,98,2,False,
54,154.2,2.91096e+06,8.02784,0,100,True,
55,145.619,3.0825e+06,7.74427,0,81,True,
56,160.888,2.78995e+06,8.19754,0,100,True,
57,5981.51,75043,8.50845,0,2,False,
58,313.805,1.43041e+06,8.44683,0,100,True,
59,223.529,2.00811e+06,8.34671,0,100,True,
60,1637.13,274181,8.95173,95,5,False,
61,4567.72,98270,8.89683,97,3,False,
62,231.744,1.93692e+06,8.65332,0,100,True,
63,1749.59,256557,8.93559,98,2,False,
64,322.671,1.39111e+06,8.57986,0,28,True,
65,1205.75,372273,8.49098,98,2,False,
66,134.698,3.33242e+06,8.65599,0,54,True,
67,235.328,1.90742e+06,8.92897,0,100,True,
68,255.709,1.75539e+06,8.79206,0,11,True,
69,348.037,1.28972e+06,8.91164,0,25,True,
70,3659.09,122673,8.57792,0,2,False,
71,300.773,1.49239e+06,8.59171,0,100,True,
72,711.061,631268,8.45284,93,7,False,
73,1627.95,275727,8.93702,0,3,False,
74,144.515,3.10604e+06,3.26885,1,2,False,
78,97.538,4.602e+06,6.62918,1,4,False,
81,131.973,3.40121e+06,3.99626,2,13,True,
82,252.57,1.77721e+06,4.55506,2,9,True,
83,263.76,1.70181e+06,3.59661,2,12,True,
85,96.251,4.66354e+06,6.14644,2,39,True,
86,354.219,1.26721e+06,5.42068,2,2,False,
87,122.932,3.65138e+06,5.24977,2,2,False,
88,178.414,2.51589e+06,5.32576,2,2,False,
89,153.247,2.92907e+06,7.27251,2,74,True,
90,364.315,1.23209e+06,7.24731,2,2,False,
91,185.744,2.4166e+06,7.64419,2,92,True,
92,226.567,1.98118e+06,8.42629,2,100,True,
93,414.442,1.08307e+06,8.6302,95,7,False,
94,180.633,2.48499e+06,8.46367,2,100,True,
95,102.493,4.37954e+06,4.13107,3,12,True,
96,54.4436,8.24468e+06,5.51435,3,2,False,
97,139.907,3.20836e+06,4.25453,3,2,False,
100,414.584,1.0827e+06,4.82771,4,2,False,
101,115.174,3.89733e+06,5.73798,3,56,True,
104,194.576,2.30692e+06,3.80169,4,4,False,
105,2102.93,213450,4.82968,4,2,False,
107,786.957,570387,7.30121,101,3,False,
108,336.913,1.3323e+06,7.63899,4,6,False,
109,1193.35,376144,8.22372,98,3,False,
111,87.2528,5.14448e+06,4.60075,5,14,True,
112,99.8007,4.49767e+06,5.40196,5,4,False,
114,4032.36,111317,5.41412,5,2,False,
118,224.339,2.00086e+06,5.54372,6,5,False,
119,451.447,994291,5.43906,6,2,False,
121,178.664,2.51237e+06,2.36288,0,4,False,
122,172.278,2.6055e+06,2.68159,7,3,False,
124,418.556,1.07242e+06,4.87964,7,2,False,
126,7045.1,63713.8,5.08555,7,2,False,
128,567.478,790991,6.872,32,2,False,
130,184.394,2.4343e+06,7.12453,0,5,True,
131,114.926,3.90573e+06,4.1888,8,12,True,
132,201.819,2.22413e+06,6.08745,8,52,True,
133,103.782,4.32511e+06,4.95714,8,9,True,
134,244.067,1.83912e+06,5.36459,12,3,False,
135,342.229,1.31161e+06,4.61759,8,7,False,
137,77.5291,5.7897e+06,3.95508,9,20,True,
138,7050.41,63665.8,3.11715,9,2,False,
140,95.8994,4.68064e+06,5.45069,9,24,True,
144,4503.41,99673.4,4.79765,18,2,False,
148,124.196,3.61419e+06,5.76521,10,2,False,
149,1554.14,288822,7.93464,37,4,False,
150,285.022,1.57486e+06,6.69439,10,3,False,
151,109.798,4.08816e+06,7.44285,10,10,True,
152,373.235,1.20265e+06,4.49876,11,2,False,
158,3636.44,123437,8.69752,11,2,False,
161,211.068,2.12667e+06,5.54805,12,4,False,
163,326.883,1.37318e+06,8.75974,12,11,True,
164,118.838,3.77716e+06,4.71333,13,8,True,
165,354.346,1.26675e+06,4.31676,13,3,False,
167,52.5565,8.54071e+06,2.65305,13,2,False,
169,200.706,2.23646e+06,4.46302,13,5,True,
170,108.932,4.12066e+06,5.34484,13,19,True,
174,325.904,1.37731e+06,4.61026,14,2,False,
177,569.734,787859,6.27353,35,2,False,
178,134.435,3.33894e+06,7.18892,20,2,False,
179,47.2403,9.50185e+06,2.89829,15,2,False,
180,161.037,2.78737e+06,3.041,15,14,True,
181,47694.8,9411.3,2.89829,15,2,False,
185,88.2898,5.08405e+06,5.78927,15,4,False,
186,129.998,3.4529e+06,7.9609,15,7,True,
187,47694.8,9411.3,5.96811,10,2,False,
188,113.52,3.95411e+06,4.97774,8,2,False,
189,203,2.21118e+06,3.33393,16,12,True,
191,1015.89,441847,3.18743,17,6,False,
