NTA Experiment Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
Experiment Name,5000x_L_4_3_real 2024-09-25 15-45-59.nano,
Operator Name,,
Time Captured,15:45:59  25/09/2024,
Sample Description,,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,5000x_L_4_3_real 2024-09-25 15-46-11,5000x_L_4_3_real 2024-09-25 15-48-07,5000x_L_4_3_real 2024-09-25 15-50-10,5000x_L_4_3_real 2024-09-25 15-52-13,5000x_L_4_3_real 2024-09-25 15-53-44,
,,,,,,
[Conditions],,,,,,
Temperature/C,21.439,21.470,21.503,21.555,21.570,
Viscosity/cP,0.965779,0.965063,0.964301,0.963102,0.962757,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,13,13,13,13,13,
Slider Shutter,1232,1232,1232,1232,1232,
Slider Gain,219,219,219,219,219,
Shutter/ms,30.800000,30.800000,30.800000,30.800000,30.800000,
Camera Histogram Upper Limit,8235,8235,8235,8235,8235,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,0,0,0,0,0,
,,,,,,
[Settings],,,,,,
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,11.1640,11.3978,11.3542,11.2305,11.0942,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),5.00e+03,5.00e+03,5.00e+03,5.00e+03,5.00e+03,,,
Concentration (Particles / ml),6.89e+12,1.52e+13,1.68e+13,2.17e+13,2.16e+13,1.64e+13,2.70e+12,
Particles per frame,69.9,154.2,170.7,219.9,218.8,166.7,27.5,
Centres per frame,66.5,135.6,147.5,181.6,182.3,142.7,21.2,
Completed tracks,6277,16333,18261,23914,24285,,,
X-Drift (pix/frame),0.2,0.2,0.2,0.2,0.2,,,
Y-Drift (pix/frame),0.0,-0.0,-0.0,0.0,-0.0,,,
,,,,,,,,
[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,5000x_L_4_3_real 2024-09-25 15-46-11,5000x_L_4_3_real 2024-09-25 15-48-07,5000x_L_4_3_real 2024-09-25 15-50-10,5000x_L_4_3_real 2024-09-25 15-52-13,5000x_L_4_3_real 2024-09-25 15-53-44,Average,Standard Error,
Mean,84.8,85.4,86.5,87.0,88.9,86.5,0.7,
Mode,75.2,79.6,79.0,76.3,79.1,77.8,0.9,
SD,12.8,14.6,14.6,14.3,16.4,14.6,0.6,
D10,72.6,70.2,72.0,71.5,73.0,71.9,0.5,
D50,80.5,82.6,83.4,84.6,84.2,83.1,0.7,
D90,101.4,104.3,104.2,105.7,110.5,105.2,1.5,
Valid Tracks,3000.0,7508.0,8344.0,10730.0,11016.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
